student_id,pref_0,pref_1,pref_2,pref_3,pref_4
0,2,1,0,4,3
1,2,0,1,4,3
2,0,2,3,1,4
3,3,0,1,2,4
4,0,4,2,1,3
5,4,1,3,0,2
6,1,4,2,0,3
7,3,1,4,0,2
8,3,4,1,0,2
9,1,4,0,2,3
10,0,3,4,2,1
11,3,1,2,0,4
12,3,0,2,4,1
13,4,2,0,1,3
14,3,2,1,0,4
15,2,4,0,1,3
16,1,2,4,0,3
17,4,1,2,0,3
18,0,3,4,1,2
19,1,2,3,4,0
20,4,3,0,2,1
21,1,3,0,2,4
22,0,2,1,3,4
23,0,3,2,1,4
24,4,1,3,0,2
25,1,2,4,3,0
26,2,3,0,4,1
27,2,1,4,3,0
28,1,4,3,0,2
29,4,3,0,2,1
30,0,2,1,4,3
31,2,3,4,0,1
32,0,2,4,1,3
33,3,0,4,2,1
34,0,1,4,2,3
35,1,3,2,0,4
36,0,1,3,4,2
37,1,3,2,4,0
38,1,2,0,3,4
39,4,1,0,2,3
40,0,2,3,1,4
41,1,2,0,3,4
42,3,0,4,1,2
43,3,0,1,4,2
44,0,2,3,1,4
45,3,4,2,0,1
46,4,0,3,2,1
47,4,0,1,3,2
48,4,3,2,0,1
49,3,4,2,1,0
50,0,1,2,4,3
51,2,4,0,3,1
52,0,4,2,1,3
53,4,0,2,1,3
54,2,3,4,1,0
55,2,0,4,1,3
56,4,0,1,2,3
57,2,4,0,3,1
58,1,2,0,4,3
59,4,0,3,1,2
60,0,2,1,4,3
61,2,1,4,3,0
62,2,4,3,1,0
63,1,3,0,2,4
64,2,0,3,4,1
65,4,0,1,3,2
66,1,2,3,0,4
67,3,2,0,4,1
68,4,3,2,0,1
69,4,3,2,0,1
70,3,4,1,2,0
71,3,0,1,2,4
72,1,2,4,0,3
73,0,1,2,3,4
74,4,1,3,0,2
75,4,0,3,2,1
76,0,4,1,2,3
77,3,2,4,0,1
78,2,0,1,4,3
79,2,3,0,4,1
80,0,3,1,2,4
81,4,0,3,1,2
82,2,0,3,4,1
83,1,3,0,2,4
84,1,2,0,4,3
85,2,0,4,3,1
86,4,3,1,2,0
87,0,3,1,2,4
88,3,0,1,4,2
89,1,2,0,3,4
90,4,1,3,2,0
91,1,0,2,4,3
92,0,1,2,4,3
93,3,2,1,4,0
94,0,1,4,3,2
95,2,4,3,1,0
96,0,1,2,4,3
97,0,3,2,4,1
98,0,3,2,4,1
99,3,0,2,1,4
100,2,1,3,0,4
101,1,0,2,4,3
102,1,3,4,0,2
103,3,4,2,1,0
104,1,2,0,4,3
105,4,3,2,1,0
106,4,1,2,0,3
107,1,4,3,0,2
108,4,0,3,1,2
109,4,3,2,0,1
110,3,4,2,1,0
111,4,1,2,0,3
112,0,4,1,3,2
113,0,2,4,1,3
114,2,4,0,3,1
115,2,0,3,1,4
116,1,3,0,4,2
117,2,1,0,4,3
118,4,2,3,0,1
119,4,3,2,0,1
120,2,0,3,1,4
121,0,1,3,4,2
122,4,1,2,0,3
123,2,4,3,0,1
124,1,4,3,0,2
125,0,4,2,3,1
126,4,3,1,0,2
127,2,1,3,0,4
128,3,2,4,0,1
129,0,4,2,1,3
130,1,2,3,4,0
131,1,2,3,4,0
132,0,3,4,2,1
133,4,2,3,1,0
134,2,3,0,1,4
135,2,3,0,4,1
136,1,0,3,4,2
137,0,4,2,3,1
138,3,1,4,0,2
139,4,2,0,3,1
140,3,0,1,2,4
141,4,2,1,3,0
142,2,4,3,0,1
143,0,3,2,4,1
144,1,2,3,0,4
145,0,4,1,2,3
146,0,2,4,3,1
147,2,3,0,1,4
148,1,3,4,0,2
149,4,0,1,2,3
150,2,1,4,0,3
151,0,2,1,3,4
152,1,3,4,0,2
153,2,4,0,3,1
154,4,2,0,3,1
155,4,0,2,3,1
156,1,2,3,0,4
157,0,3,2,1,4
158,4,3,2,1,0
159,4,2,0,3,1
160,2,0,1,4,3
161,0,4,3,2,1
162,3,4,0,1,2
163,0,2,3,4,1
164,0,1,4,2,3
165,4,1,3,2,0
166,0,1,3,2,4
167,3,4,2,1,0
168,3,0,1,4,2
169,1,0,2,4,3
170,3,0,4,1,2
171,1,4,0,2,3
172,0,1,4,2,3
173,2,0,1,3,4
174,0,1,3,2,4
175,0,1,2,4,3
176,4,2,3,1,0
177,0,4,2,3,1
178,3,0,2,4,1
179,3,0,2,1,4
180,4,3,0,1,2
181,2,1,0,4,3
182,2,1,0,3,4
183,2,3,4,0,1
184,2,4,1,3,0
185,3,2,4,1,0
186,0,2,3,4,1
187,3,4,1,2,0
188,4,1,3,0,2
189,3,1,2,0,4
190,1,0,2,4,3
191,0,1,4,3,2
192,2,3,0,4,1
193,2,3,0,1,4
194,2,0,4,3,1
195,4,2,1,0,3
196,2,0,4,1,3
197,2,4,3,1,0
198,3,2,4,0,1
199,1,4,3,0,2
200,4,3,2,1,0
201,0,1,4,2,3
202,3,0,2,4,1
203,3,4,0,2,1
204,1,4,0,3,2
205,1,0,4,3,2
206,1,4,2,0,3
207,4,2,0,3,1
208,1,3,2,4,0
209,2,4,0,1,3
210,4,2,0,1,3
211,0,4,3,2,1
212,2,3,4,0,1
213,2,4,3,0,1
214,3,4,0,1,2
215,2,1,0,4,3
216,2,0,4,3,1
217,2,1,0,3,4
218,4,3,2,1,0
219,2,3,1,4,0
220,1,3,2,0,4
221,2,1,3,4,0
222,1,3,4,0,2
223,4,2,1,0,3
224,0,1,2,4,3
225,2,4,3,1,0
226,2,3,1,0,4
227,4,3,2,0,1
228,4,0,2,3,1
229,4,0,2,1,3
230,1,3,4,0,2
231,4,3,0,1,2
232,0,4,1,2,3
233,4,1,0,2,3
234,3,1,4,0,2
235,2,0,3,4,1
236,1,0,4,3,2
237,1,2,3,4,0
238,4,0,1,2,3
239,2,4,0,1,3
240,3,0,2,1,4
241,0,2,1,3,4
242,4,1,0,2,3
243,0,4,3,2,1
244,4,1,3,0,2
245,4,0,1,3,2
246,0,2,3,4,1
247,0,2,3,1,4
248,1,2,4,3,0
249,1,3,0,4,2
250,0,4,2,3,1
251,3,0,1,2,4
252,0,3,2,4,1
253,1,4,3,0,2
254,0,2,1,3,4
255,2,1,3,4,0
256,0,4,3,1,2
257,1,3,4,2,0
258,1,4,2,0,3
259,0,1,3,2,4
260,4,0,1,2,3
261,4,0,3,1,2
262,1,3,0,2,4
263,4,2,0,1,3
264,0,1,4,2,3
265,2,4,0,3,1
266,3,2,0,1,4
267,4,2,0,3,1
268,3,0,1,4,2
269,0,2,1,3,4
270,4,1,2,0,3
271,2,3,4,0,1
272,2,4,1,0,3
273,1,4,2,3,0
274,1,4,3,2,0
275,4,0,2,3,1
276,0,4,2,1,3
277,3,0,4,2,1
278,0,1,2,4,3
279,1,0,4,3,2
280,1,3,0,4,2
281,4,2,0,1,3
282,3,1,4,0,2
283,1,0,2,3,4
284,1,2,3,0,4
285,1,0,2,4,3
286,0,2,1,3,4
287,1,3,4,0,2
288,0,3,2,1,4
289,4,1,0,3,2
290,3,4,2,1,0
291,1,0,2,4,3
292,1,2,0,4,3
293,4,2,1,3,0
294,4,2,3,0,1
295,4,0,1,2,3
296,3,2,1,4,0
297,3,1,2,4,0
298,1,0,2,4,3
299,0,3,4,2,1
300,0,1,2,4,3
301,4,3,2,1,0
302,0,4,1,3,2
303,1,4,0,3,2
304,4,0,3,1,2
305,2,3,0,4,1
306,2,4,3,1,0
307,1,4,2,3,0
308,2,4,0,3,1
309,2,0,1,3,4
310,4,0,1,2,3
311,4,2,3,0,1
312,0,1,2,4,3
313,4,2,0,1,3
314,1,4,2,0,3
315,0,3,2,4,1
316,2,3,0,4,1
317,4,1,3,0,2
318,1,4,2,0,3
319,1,2,0,4,3
320,2,0,4,1,3
321,3,2,4,1,0
322,1,2,4,3,0
323,0,1,3,4,2
324,3,2,4,1,0
325,3,2,1,0,4
326,4,2,3,0,1
327,0,3,4,2,1
328,4,2,3,0,1
329,1,4,3,0,2
330,1,2,3,4,0
331,0,1,3,4,2
332,4,1,3,0,2
333,3,1,0,2,4
334,3,1,2,0,4
335,3,1,4,0,2
336,4,2,0,1,3
337,0,1,4,3,2
338,4,3,0,1,2
339,1,2,3,0,4
340,3,1,0,2,4
341,4,0,1,3,2
342,4,0,3,1,2
343,3,4,0,1,2
344,0,2,4,1,3
345,4,3,2,0,1
346,2,0,3,1,4
347,4,2,3,1,0
348,4,2,0,1,3
349,0,2,3,4,1
350,2,4,1,0,3
351,0,3,4,1,2
352,4,3,2,0,1
353,0,2,3,1,4
354,1,3,0,4,2
355,1,4,0,2,3
356,3,4,0,2,1
357,0,2,1,4,3
358,3,4,0,2,1
359,3,0,2,1,4
360,4,3,1,0,2
361,0,2,1,4,3
362,4,1,0,3,2
363,1,2,3,4,0
364,3,4,0,2,1
365,1,0,4,2,3
366,4,1,2,3,0
367,1,2,4,3,0
368,0,2,1,4,3
369,0,1,3,2,4
370,3,4,0,2,1
371,1,0,4,3,2
372,0,1,3,4,2
373,3,1,0,4,2
374,4,2,1,0,3
375,1,2,0,4,3
376,3,2,0,4,1
377,1,2,0,3,4
378,2,0,1,3,4
379,4,2,0,3,1
380,2,4,3,0,1
381,0,4,2,1,3
382,2,4,3,0,1
383,2,0,1,3,4
384,4,0,3,1,2
385,2,3,0,1,4
386,4,1,2,0,3
387,1,0,3,2,4
388,3,1,0,4,2
389,1,2,0,4,3
390,4,0,1,3,2
391,2,3,1,4,0
392,2,3,0,1,4
393,1,4,3,2,0
394,1,0,2,3,4
395,1,2,3,0,4
396,1,3,4,0,2
397,1,2,3,4,0
398,4,3,0,2,1
399,3,2,0,4,1
400,0,4,2,3,1
401,4,2,1,0,3
402,3,2,0,1,4
403,1,2,4,3,0
404,1,2,3,0,4
405,0,1,3,4,2
406,4,3,0,1,2
407,3,4,0,1,2
408,0,3,4,2,1
409,4,0,2,3,1
410,2,1,0,4,3
411,0,2,1,4,3
412,1,2,0,4,3
413,4,0,2,1,3
414,4,2,0,1,3
415,4,1,0,3,2
416,2,4,3,0,1
417,3,4,1,2,0
418,4,3,1,0,2
419,3,2,4,0,1
420,1,3,0,2,4
421,4,2,0,1,3
422,1,0,4,2,3
423,0,1,4,3,2
424,2,0,1,4,3
425,1,4,3,0,2
426,4,0,1,2,3
427,4,0,3,1,2
428,1,3,0,2,4
429,2,1,4,0,3
430,0,3,2,4,1
431,4,0,3,1,2
432,2,3,0,1,4
433,2,4,1,0,3
434,2,3,4,1,0
435,1,0,3,2,4
436,3,0,4,2,1
437,3,4,2,1,0
438,1,0,2,3,4
439,1,0,2,4,3
440,1,4,2,0,3
441,0,1,4,2,3
442,3,1,2,0,4
443,4,1,3,0,2
444,3,0,1,2,4
445,3,2,4,0,1
446,4,1,0,3,2
447,3,0,2,1,4
448,0,2,4,3,1
449,4,3,0,2,1
450,2,1,0,4,3
451,4,0,3,1,2
452,3,4,0,2,1
453,0,3,1,4,2
454,4,3,0,1,2
455,4,3,1,2,0
456,1,2,0,4,3
457,2,4,3,0,1
458,3,2,0,4,1
459,4,2,3,0,1
460,2,0,3,4,1
461,1,0,3,2,4
462,1,3,4,0,2
463,1,4,2,0,3
464,0,4,3,2,1
465,0,2,1,3,4
466,2,4,1,3,0
467,1,2,4,3,0
468,1,4,0,2,3
469,0,3,1,4,2
470,0,3,4,2,1
471,2,0,4,3,1
472,1,2,3,4,0
473,3,0,4,2,1
474,3,1,2,0,4
475,2,3,4,0,1
476,4,1,2,0,3
477,4,0,2,1,3
478,2,3,4,1,0
479,2,1,4,3,0
480,0,4,3,1,2
481,1,3,0,4,2
482,0,4,2,3,1
483,3,0,2,4,1
484,3,0,2,4,1
485,0,3,1,4,2
486,0,2,4,1,3
487,0,4,2,3,1
488,4,2,1,0,3
489,3,1,0,2,4
490,0,3,2,1,4
491,3,2,4,1,0
492,2,3,4,0,1
493,1,0,4,3,2
494,0,1,2,3,4
495,1,2,4,3,0
496,0,1,2,4,3
497,4,3,2,1,0
498,1,3,4,2,0
499,2,3,0,1,4
500,2,4,1,3,0
501,3,4,2,1,0
502,2,4,1,0,3
503,1,4,2,0,3
504,3,1,4,2,0
505,1,0,4,2,3
506,4,3,2,1,0
507,1,0,2,4,3
508,3,0,1,4,2
509,0,3,4,2,1
510,4,2,3,0,1
511,3,1,4,0,2
512,2,3,0,1,4
513,0,3,2,1,4
514,3,1,2,0,4
515,2,3,0,1,4
516,0,2,1,3,4
517,3,1,0,2,4
518,3,4,0,1,2
519,3,2,1,4,0
520,1,4,3,2,0
521,0,1,2,4,3
522,3,4,1,2,0
523,4,2,1,0,3
524,3,2,0,4,1
525,4,3,1,0,2
526,3,1,4,2,0
527,4,3,1,2,0
528,4,2,0,3,1
529,2,1,3,4,0
530,4,1,0,2,3
531,1,2,4,3,0
532,4,1,3,2,0
533,3,4,1,0,2
534,3,4,0,2,1
535,1,0,4,3,2
536,4,2,3,1,0
537,2,3,0,4,1
538,3,1,4,2,0
539,0,4,1,3,2
540,2,1,3,4,0
541,2,0,1,4,3
542,3,4,1,0,2
543,0,1,3,2,4
544,4,2,0,1,3
545,2,0,1,4,3
546,3,1,2,0,4
547,0,3,2,1,4
548,3,0,1,2,4
549,1,4,3,0,2
550,1,2,3,0,4
551,1,4,3,0,2
552,0,3,2,4,1
553,3,4,2,1,0
554,3,4,2,0,1
555,3,4,1,2,0
556,4,0,2,3,1
557,1,2,3,4,0
558,3,1,0,2,4
559,1,2,3,0,4
560,1,0,2,4,3
561,0,4,1,2,3
562,0,3,1,4,2
563,0,2,3,4,1
564,0,3,1,4,2
565,0,2,3,4,1
566,2,0,4,3,1
567,4,1,2,3,0
568,3,4,2,1,0
569,3,2,4,1,0
570,0,3,2,4,1
571,4,0,1,2,3
572,2,3,1,0,4
573,3,4,0,2,1
574,3,2,0,4,1
575,2,4,3,0,1
576,3,1,0,4,2
577,3,1,0,2,4
578,2,1,4,3,0
579,1,4,3,0,2
580,0,1,4,3,2
581,4,0,2,1,3
582,3,4,2,1,0
583,4,3,2,1,0
584,2,1,3,0,4
585,0,3,4,2,1
586,2,0,1,3,4
587,2,4,3,0,1
588,2,4,3,1,0
589,0,1,4,2,3
590,3,1,2,4,0
591,2,3,1,4,0
592,3,1,2,4,0
593,2,1,4,3,0
594,3,1,0,2,4
595,2,1,3,4,0
596,1,3,4,2,0
597,3,4,2,1,0
598,2,3,4,0,1
599,1,0,2,3,4
600,3,2,1,0,4
601,1,2,4,3,0
602,1,3,0,4,2
603,4,3,0,1,2
604,1,4,0,3,2
605,0,3,1,2,4
606,2,0,3,4,1
607,0,1,3,2,4
608,3,1,2,0,4
609,0,3,2,4,1
610,4,3,1,2,0
611,0,4,2,1,3
612,1,4,3,2,0
613,1,4,0,3,2
614,0,4,2,1,3
615,0,2,4,3,1
616,2,0,4,3,1
617,2,3,4,1,0
618,3,1,2,4,0
619,2,4,3,0,1
620,4,0,3,2,1
621,4,0,2,3,1
622,4,1,0,3,2
623,4,1,0,3,2
624,3,2,0,4,1
625,2,3,4,1,0
626,4,1,0,2,3
627,1,4,3,2,0
628,4,2,3,1,0
629,1,2,0,3,4
630,1,3,4,0,2
631,3,4,1,2,0
632,4,3,0,1,2
633,3,2,0,1,4
634,3,2,4,0,1
635,0,1,4,3,2
636,0,3,4,1,2
637,1,0,3,2,4
638,3,1,0,2,4
639,4,3,1,2,0
640,2,0,4,1,3
641,2,3,4,0,1
642,4,2,0,3,1
643,1,4,3,0,2
644,0,3,4,1,2
645,0,1,4,2,3
646,2,0,4,1,3
647,4,0,2,1,3
648,0,4,3,2,1
649,1,0,4,2,3
650,2,4,3,0,1
651,3,4,2,0,1
652,3,4,0,2,1
653,3,4,1,0,2
654,1,4,0,2,3
655,1,3,2,0,4
656,1,4,3,0,2
657,2,0,3,1,4
658,1,0,3,4,2
659,0,4,3,1,2
660,3,4,1,2,0
661,4,0,1,2,3
662,4,1,2,0,3
663,0,4,2,3,1
664,2,3,0,1,4
665,4,3,2,0,1
666,2,1,0,4,3
667,4,2,0,3,1
668,2,4,1,3,0
669,3,4,0,2,1
670,2,0,3,4,1
671,3,4,1,2,0
672,0,3,1,2,4
673,3,2,0,1,4
674,3,2,4,0,1
675,1,3,0,4,2
676,2,4,3,0,1
677,0,4,2,1,3
678,4,2,0,1,3
679,2,3,0,4,1
680,2,4,0,3,1
681,0,2,1,3,4
682,3,1,4,0,2
683,1,3,2,0,4
684,1,3,4,0,2
685,0,1,4,3,2
686,2,1,3,4,0
687,3,1,2,4,0
688,0,2,3,4,1
689,3,2,0,4,1
690,1,0,4,3,2
691,3,2,4,1,0
692,2,0,4,3,1
693,4,3,2,0,1
694,0,2,1,3,4
695,0,3,1,2,4
696,0,3,1,2,4
697,4,1,3,0,2
698,3,2,0,4,1
699,4,0,3,1,2
700,3,4,2,1,0
701,3,4,1,2,0
702,3,4,0,1,2
703,1,0,4,2,3
704,0,4,2,1,3
705,2,3,0,4,1
706,2,4,1,3,0
707,3,0,1,2,4
708,4,2,0,3,1
709,4,1,3,0,2
710,1,3,4,2,0
711,4,0,3,1,2
712,4,1,3,0,2
713,0,4,2,1,3
714,2,0,4,1,3
715,4,1,3,0,2
716,1,3,4,0,2
717,3,1,2,0,4
718,4,1,0,3,2
719,2,0,3,4,1
720,2,0,1,3,4
721,0,1,2,3,4
722,2,4,3,1,0
723,1,3,0,4,2
724,4,0,1,2,3
725,2,3,0,4,1
726,2,3,4,0,1
727,4,3,0,1,2
728,2,1,3,0,4
729,3,1,2,4,0
730,4,2,3,0,1
731,4,3,0,1,2
732,1,2,3,0,4
