student_id,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9
0,1,5,6,0,9,4,7,2,8,3
1,6,1,7,8,3,4,5,0,9,2
2,2,3,9,1,0,6,4,5,7,8
3,7,9,3,6,4,5,1,8,2,0
4,1,0,4,2,6,8,7,9,5,3
5,0,1,8,2,9,4,3,5,7,6
6,3,7,2,8,1,6,5,9,0,4
7,2,7,6,9,4,5,3,0,1,8
8,8,5,1,4,9,0,2,6,3,7
9,5,3,4,6,1,9,0,2,8,7
10,4,3,6,9,8,0,2,7,1,5
11,9,2,3,1,7,4,0,6,5,8
12,4,2,3,9,1,7,5,6,8,0
13,4,2,0,7,6,3,8,1,9,5
14,0,1,9,2,6,7,5,3,8,4
15,1,5,0,2,9,4,6,8,7,3
16,6,5,3,8,0,2,7,9,4,1
17,8,6,5,9,1,0,7,4,2,3
18,7,3,9,0,2,6,4,1,5,8
19,8,7,0,1,6,9,2,5,3,4
20,3,2,8,4,0,5,6,1,9,7
21,7,3,1,8,2,0,6,5,4,9
22,7,6,3,4,2,5,8,1,0,9
23,6,3,1,5,7,4,0,9,2,8
24,5,2,1,8,3,4,7,0,9,6
25,7,8,0,1,6,5,2,4,3,9
26,0,2,8,5,3,6,4,1,9,7
27,4,7,1,5,0,6,2,3,9,8
28,9,8,7,4,5,3,2,0,1,6
29,5,6,9,3,7,2,0,1,8,4
30,1,7,3,2,6,9,8,5,0,4
31,2,3,6,7,0,4,8,9,5,1
32,6,0,5,7,8,4,1,9,3,2
33,6,8,3,5,1,9,7,2,0,4
34,4,0,3,2,1,8,6,7,9,5
35,5,7,6,8,1,2,9,4,3,0
36,4,1,7,3,8,2,6,5,9,0
37,2,0,6,9,7,8,1,3,4,5
38,9,0,3,8,7,5,4,2,6,1
39,1,8,7,2,3,9,5,4,6,0
40,8,9,6,3,1,0,5,2,7,4
41,3,9,4,1,0,2,7,8,6,5
42,1,4,7,8,2,6,3,9,5,0
43,9,7,8,0,4,2,3,6,1,5
44,9,2,7,5,4,1,8,3,6,0
45,9,4,7,6,0,1,3,5,8,2
46,1,8,5,0,6,9,4,2,3,7
47,0,6,1,4,9,8,2,3,5,7
48,5,8,6,3,7,0,1,4,9,2
49,5,7,1,9,8,4,2,3,0,6
50,1,0,7,5,2,4,8,3,9,6
51,7,2,5,4,9,6,0,3,1,8
52,0,8,6,3,7,1,2,5,9,4
53,9,8,3,7,5,4,0,2,6,1
54,2,8,0,6,3,1,7,4,9,5
55,0,5,3,4,8,2,6,9,7,1
56,8,6,9,1,4,0,3,5,2,7
57,8,7,4,3,1,9,5,0,2,6
58,5,0,8,4,1,3,2,6,9,7
59,2,3,1,5,4,6,0,9,8,7
60,1,2,8,9,5,3,7,4,0,6
61,4,1,0,9,3,5,7,8,6,2
62,6,5,0,9,8,1,4,7,2,3
63,8,4,5,6,7,3,0,1,2,9
64,9,2,6,0,3,8,1,7,5,4
65,6,9,0,3,2,8,7,5,1,4
66,6,3,7,5,8,9,2,0,4,1
67,1,3,9,8,7,5,4,2,0,6
68,5,9,8,4,3,6,1,2,7,0
69,7,4,5,6,3,1,9,0,8,2
70,0,9,1,8,7,6,2,5,3,4
71,6,2,5,1,0,7,3,9,8,4
72,1,9,8,4,6,0,3,2,5,7
73,8,1,6,3,5,0,2,7,9,4
74,4,6,5,3,0,7,9,1,2,8
75,0,1,4,5,3,7,8,9,2,6
76,3,7,2,4,0,5,1,6,8,9
77,2,1,9,3,7,4,0,5,8,6
78,3,8,2,0,6,1,7,5,9,4
79,6,0,5,9,8,3,1,2,7,4
80,3,7,0,8,9,1,6,5,4,2
81,7,0,1,9,6,4,5,8,2,3
82,6,7,8,1,4,2,3,5,0,9
83,5,1,0,4,8,9,3,6,7,2
84,1,7,3,2,9,0,5,8,4,6
85,4,3,2,9,0,6,8,1,7,5
86,7,8,5,3,2,0,6,9,4,1
87,4,8,1,6,2,5,3,7,0,9
88,4,7,5,9,0,6,2,8,3,1
89,8,3,4,0,9,1,7,6,2,5
90,4,8,2,0,5,3,7,9,1,6
91,1,3,8,5,9,0,7,4,6,2
92,3,0,4,9,8,7,5,6,1,2
93,7,2,6,3,1,8,4,0,5,9
94,1,6,5,0,4,8,2,7,9,3
95,1,6,5,7,8,3,2,9,0,4
96,2,5,4,3,1,8,6,9,7,0
97,0,4,8,9,7,6,2,1,3,5
98,5,8,4,0,9,3,7,2,6,1
99,2,3,1,4,6,5,9,8,0,7
