student_id,pref_0,pref_1,pref_2,pref_3,pref_4
0,2,1,0,4,3
1,2,0,1,4,3
2,0,2,3,1,4
3,3,0,1,2,4
4,0,4,2,1,3
5,4,1,3,0,2
6,1,4,2,0,3
7,3,1,4,0,2
8,3,4,1,0,2
9,1,4,0,2,3
10,0,3,4,2,1
11,3,1,2,0,4
12,3,0,2,4,1
13,4,2,0,1,3
14,3,2,1,0,4
15,2,4,0,1,3
16,1,2,4,0,3
17,4,1,2,0,3
18,0,3,4,1,2
19,1,2,3,4,0
20,4,3,0,2,1
21,1,3,0,2,4
22,0,2,1,3,4
23,0,3,2,1,4
24,4,1,3,0,2
25,1,2,4,3,0
26,2,3,0,4,1
27,2,1,4,3,0
28,1,4,3,0,2
29,4,3,0,2,1
30,0,2,1,4,3
31,2,3,4,0,1
32,0,2,4,1,3
33,3,0,4,2,1
34,0,1,4,2,3
35,1,3,2,0,4
36,0,1,3,4,2
37,1,3,2,4,0
38,1,2,0,3,4
39,4,1,0,2,3
40,0,2,3,1,4
41,1,2,0,3,4
42,3,0,4,1,2
43,3,0,1,4,2
44,0,2,3,1,4
45,3,4,2,0,1
46,4,0,3,2,1
47,4,0,1,3,2
48,4,3,2,0,1
49,3,4,2,1,0
50,0,1,2,4,3
51,2,4,0,3,1
52,0,4,2,1,3
53,4,0,2,1,3
54,2,3,4,1,0
55,2,0,4,1,3
56,4,0,1,2,3
57,2,4,0,3,1
58,1,2,0,4,3
59,4,0,3,1,2
60,0,2,1,4,3
61,2,1,4,3,0
62,2,4,3,1,0
63,1,3,0,2,4
64,2,0,3,4,1
65,4,0,1,3,2
66,1,2,3,0,4
67,3,2,0,4,1
68,4,3,2,0,1
69,4,3,2,0,1
70,3,4,1,2,0
71,3,0,1,2,4
72,1,2,4,0,3
73,0,1,2,3,4
74,4,1,3,0,2
75,4,0,3,2,1
76,0,4,1,2,3
77,3,2,4,0,1
78,2,0,1,4,3
79,2,3,0,4,1
80,0,3,1,2,4
81,4,0,3,1,2
82,2,0,3,4,1
83,1,3,0,2,4
84,1,2,0,4,3
85,2,0,4,3,1
86,4,3,1,2,0
87,0,3,1,2,4
88,3,0,1,4,2
89,1,2,0,3,4
90,4,1,3,2,0
91,1,0,2,4,3
92,0,1,2,4,3
93,3,2,1,4,0
94,0,1,4,3,2
95,2,4,3,1,0
96,0,1,2,4,3
97,0,3,2,4,1
98,0,3,2,4,1
99,3,0,2,1,4
