seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,pref_13,pref_14,pref_15,pref_16,pref_17,pref_18,pref_19,pref_20,pref_21,pref_22,pref_23,pref_24,pref_25,pref_26,pref_27,pref_28,pref_29,pref_30,pref_31,pref_32,pref_33,pref_34,pref_35,pref_36,pref_37,pref_38,pref_39,pref_40,pref_41,pref_42,pref_43,pref_44,pref_45,pref_46,pref_47,pref_48,pref_49,execution_time
0,student_optimal,9746,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.467180013656616
0,tie_breaking,9746,110,31,22,14,15,7,3,6,9,5,2,7,1,2,2,4,0,0,0,0,0,2,0,2,0,1,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0.007132053375244141
1,student_optimal,9748,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.66828155517578
1,tie_breaking,9748,87,40,21,11,16,13,8,6,5,7,8,4,4,5,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.008265972137451172
2,student_optimal,9672,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.393192768096924
2,tie_breaking,9672,127,57,27,20,14,11,9,13,8,3,3,11,3,1,1,1,0,4,1,0,0,5,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0.010484457015991211
3,student_optimal,9700,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.943604469299316
3,tie_breaking,9700,125,52,22,25,15,6,11,6,5,5,5,3,2,3,0,0,1,1,1,0,1,1,0,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.008531570434570312
4,student_optimal,9713,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.393452405929565
4,tie_breaking,9713,114,53,25,16,16,9,9,4,3,8,3,1,3,1,1,3,2,1,1,0,1,1,0,1,2,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.010443687438964844
5,student_optimal,9713,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.99522590637207
5,tie_breaking,9713,119,46,30,15,11,12,3,9,6,4,5,1,2,1,2,3,1,0,1,4,1,0,0,0,2,2,1,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.009796142578125
6,student_optimal,9724,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.67170715332031
6,tie_breaking,9724,114,60,19,18,10,10,4,3,6,3,3,2,4,0,1,2,2,2,0,1,0,0,0,0,2,2,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.012058258056640625
7,student_optimal,9727,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.570274114608765
7,tie_breaking,9727,123,51,23,15,3,8,8,5,4,5,2,1,5,1,1,1,0,2,1,2,0,1,1,0,2,0,1,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.008601665496826172
8,student_optimal,9725,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.69817805290222
8,tie_breaking,9725,126,55,24,16,9,6,6,6,3,1,3,2,3,0,0,3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0.01133108139038086
9,student_optimal,9739,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7547550201416
9,tie_breaking,9739,102,59,30,11,12,7,9,4,2,5,5,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.009205818176269531
