seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,execution_time
0,student_optimal,969,31,0,0,0,0,0,0,0,0,0.47184038162231445
0,tie_breaking,969,12,8,4,3,2,0,2,0,0,0.0004725456237792969
1,student_optimal,975,25,0,0,0,0,0,0,0,0,0.46439075469970703
1,tie_breaking,975,9,2,6,5,1,0,0,1,1,0.0005280971527099609
2,student_optimal,958,42,0,0,0,0,0,0,0,0,0.4610471725463867
2,tie_breaking,958,17,7,8,2,4,2,2,0,0,0.0005512237548828125
3,student_optimal,954,46,0,0,0,0,0,0,0,0,0.4622058868408203
3,tie_breaking,954,24,9,5,4,1,1,0,2,0,0.0005612373352050781
4,student_optimal,976,24,0,0,0,0,0,0,0,0,0.4647822380065918
4,tie_breaking,976,8,5,3,3,1,2,0,1,1,0.0005521774291992188
5,student_optimal,968,32,0,0,0,0,0,0,0,0,0.46527910232543945
5,tie_breaking,968,9,9,3,2,3,1,1,3,1,0.0006029605865478516
6,student_optimal,965,35,0,0,0,0,0,0,0,0,0.46782851219177246
6,tie_breaking,965,16,3,3,3,5,1,1,2,1,0.0005958080291748047
7,student_optimal,954,46,0,0,0,0,0,0,0,0,0.4660522937774658
7,tie_breaking,954,18,12,6,2,2,0,1,2,3,0.0005671977996826172
8,student_optimal,981,19,0,0,0,0,0,0,0,0,0.4673287868499756
8,tie_breaking,981,4,4,1,2,1,1,1,2,3,0.0005664825439453125
9,student_optimal,947,53,0,0,0,0,0,0,0,0,0.47120094299316406
9,tie_breaking,947,27,6,8,5,3,2,0,2,0,0.0005829334259033203
