student_id,school_id
0,8
1,6
2,8
3,3
4,2
5,3
6,3
7,4
8,0
9,8
10,5
11,3
12,3
13,4
14,9
15,6
16,0
17,8
18,7
19,9
20,0
21,4
22,7
23,8
24,7
25,2
26,2
27,1
28,3
29,7
30,7
31,9
32,6
33,1
34,7
35,9
36,0
37,8
38,0
39,1
40,2
41,4
42,4
43,0
44,9
45,0
46,4
47,4
48,6
49,7
50,3
51,8
52,8
53,1
54,9
55,4
56,7
57,9
58,7
59,2
60,9
61,5
62,7
63,2
64,5
65,3
66,5
67,0
69,0
70,9
71,8
72,3
73,8
74,6
75,1
77,2
79,9
81,1
82,6
83,0
84,3
85,4
88,6
89,1
90,4
91,5
94,1
80,1
86,6
87,1
95,5
96,5
68,6
76,2
92,6
93,5
97,5
78,2
98,5
99,2
