seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,execution_time
0,student_optimal,85,15,0,0,0,0,0,0,0,0,0.005037784576416016
0,tie_breaking,85,9,3,1,0,0,1,1,0,0,0.0003654956817626953
1,student_optimal,90,10,0,0,0,0,0,0,0,0,0.004891395568847656
1,tie_breaking,90,7,2,0,1,0,0,0,0,0,0.0002522468566894531
2,student_optimal,86,11,3,0,0,0,0,0,0,0,0.004859209060668945
2,tie_breaking,86,6,2,3,0,1,0,1,1,0,0.0003936290740966797
3,student_optimal,92,8,0,0,0,0,0,0,0,0,0.004762887954711914
3,tie_breaking,92,3,1,2,0,2,0,0,0,0,0.0003204345703125
4,student_optimal,91,7,2,0,0,0,0,0,0,0,0.0047016143798828125
4,tie_breaking,91,3,3,0,2,0,0,0,1,0,0.0003902912139892578
5,student_optimal,90,9,1,0,0,0,0,0,0,0,0.0047304630279541016
5,tie_breaking,90,3,1,0,2,1,0,1,1,1,0.00042748451232910156
6,student_optimal,86,14,0,0,0,0,0,0,0,0,0.004735469818115234
6,tie_breaking,86,6,2,2,2,1,0,0,0,1,0.00046253204345703125
7,student_optimal,87,13,0,0,0,0,0,0,0,0,0.004646778106689453
7,tie_breaking,87,3,3,4,1,0,1,0,0,1,0.00043511390686035156
8,student_optimal,87,11,2,0,0,0,0,0,0,0,0.004581928253173828
8,tie_breaking,87,5,2,0,3,0,1,1,0,1,0.0004775524139404297
9,student_optimal,82,18,0,0,0,0,0,0,0,0,0.004742860794067383
9,tie_breaking,82,10,4,0,2,0,1,0,0,1,0.00044035911560058594
