seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,execution_time
0,student_optimal,95,5,0,0,0,0.004593849182128906
0,tie_breaking,95,3,1,0,1,5.269050598144531e-05
1,student_optimal,93,7,0,0,0,0.004455089569091797
1,tie_breaking,93,4,1,2,0,5.221366882324219e-05
2,student_optimal,85,11,4,0,0,0.004454135894775391
2,tie_breaking,85,7,2,4,2,5.340576171875e-05
3,student_optimal,92,8,0,0,0,0.004357337951660156
3,tie_breaking,92,4,1,2,1,4.744529724121094e-05
4,student_optimal,94,6,0,0,0,0.004380226135253906
4,tie_breaking,94,4,0,1,1,5.0067901611328125e-05
5,student_optimal,91,9,0,0,0,0.00438380241394043
5,tie_breaking,91,4,1,1,3,5.1975250244140625e-05
6,student_optimal,92,8,0,0,0,0.004453420639038086
6,tie_breaking,92,2,2,2,2,4.9591064453125e-05
7,student_optimal,90,10,0,0,0,0.004385709762573242
7,tie_breaking,90,4,2,4,0,4.8160552978515625e-05
8,student_optimal,92,8,0,0,0,0.0043163299560546875
8,tie_breaking,92,2,2,2,2,5.2928924560546875e-05
9,student_optimal,94,6,0,0,0,0.004449367523193359
9,tie_breaking,94,4,0,0,2,4.673004150390625e-05
