seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,execution_time
0,student_optimal,95,5,0,0,0,0.005315065383911133
0,tie_breaking,95,3,1,0,1,0.0003104209899902344
1,student_optimal,93,7,0,0,0,0.0046308040618896484
1,tie_breaking,93,4,1,2,0,0.00020742416381835938
2,student_optimal,85,11,4,0,0,0.004524707794189453
2,tie_breaking,85,7,2,4,2,0.00024247169494628906
3,student_optimal,92,8,0,0,0,0.0047457218170166016
3,tie_breaking,92,4,1,2,1,0.0003077983856201172
4,student_optimal,94,6,0,0,0,0.004725217819213867
4,tie_breaking,94,4,0,1,1,0.00024580955505371094
5,student_optimal,91,9,0,0,0,0.004536151885986328
5,tie_breaking,91,4,1,1,3,0.00024175643920898438
6,student_optimal,92,8,0,0,0,0.00477147102355957
6,tie_breaking,92,2,2,2,2,0.0002498626708984375
7,student_optimal,90,10,0,0,0,0.004510641098022461
7,tie_breaking,90,4,2,4,0,0.00020599365234375
8,student_optimal,92,8,0,0,0,0.004611492156982422
8,tie_breaking,92,2,2,2,2,0.00025153160095214844
9,student_optimal,94,6,0,0,0,0.0047168731689453125
9,tie_breaking,94,4,0,0,2,0.0002448558807373047
